movie,count,popularity
104,3428,0.5675496688741721
44,2991,0.4951986754966887
124,2990,0.49503311258278143
64,2883,0.477317880794702
113,2672,0.4423841059602649
48,2653,0.4392384105960265
97,2649,0.43857615894039736
132,2590,0.4288079470198676
22,2583,0.42764900662251654
128,2578,0.42682119205298014
189,2538,0.42019867549668877
127,2514,0.4162251655629139
51,2513,0.4160596026490066
38,2459,0.40711920529801326
92,2443,0.40447019867549666
134,2369,0.3922185430463576
5,2318,0.3837748344370861
23,2304,0.38145695364238413
246,2288,0.37880794701986753
116,2278,0.37715231788079473
26,2269,0.37566225165562916
60,2250,0.37251655629139074
184,2241,0.3710264900662252
167,2227,0.36870860927152316
669,2223,0.36804635761589405
171,2194,0.36324503311258277
273,2181,0.3610927152317881
244,2171,0.35943708609271524
217,2098,0.34735099337748343
40,2077,0.3438741721854305
209,2024,0.3350993377483444
62,1996,0.3304635761589404
151,1995,0.3302980132450331
68,1924,0.3185430463576159
714,1820,0.30132450331125826
743,1800,0.2980132450331126
218,1799,0.2978476821192053
84,1785,0.2955298013245033
259,1783,0.29519867549668877
381,1751,0.2899006622516556
15,1731,0.28658940397350996
160,1730,0.28642384105960267
733,1728,0.2860927152317881
0,1725,0.2855960264900662
9,1718,0.28443708609271523
662,1716,0.28410596026490065
277,1715,0.28394039735099336
4,1703,0.281953642384106
213,1697,0.2809602649006622
434,1692,0.2801324503311258
420,1669,0.2763245033112583
210,1666,0.2758278145695364
67,1657,0.27433774834437086
78,1652,0.27350993377483446
264,1650,0.2731788079470199
186,1628,0.2695364238410596
711,1627,0.26937086092715234
206,1599,0.26473509933774836
50,1585,0.26241721854304634
547,1568,0.2596026490066225
280,1548,0.25629139072847684
27,1546,0.25596026490066226
168,1539,0.2548013245033113
58,1527,0.25281456953642384
315,1522,0.25198675496688744
237,1511,0.2501655629139073
376,1511,0.2501655629139073
642,1495,0.24751655629139072
19,1491,0.24685430463576158
283,1473,0.24387417218543048
13,1473,0.24387417218543048
123,1451,0.2402317880794702
96,1451,0.2402317880794702
317,1451,0.2402317880794702
643,1448,0.23973509933774834
352,1434,0.23741721854304637
177,1434,0.23741721854304637
587,1431,0.2369205298013245
164,1424,0.23576158940397351
432,1421,0.23526490066225167
199,1419,0.2349337748344371
156,1417,0.2346026490066225
515,1412,0.2337748344370861
148,1400,0.23178807947019867
788,1389,0.22996688741721855
105,1382,0.22880794701986754
538,1382,0.22880794701986754
155,1377,0.22798013245033114
499,1373,0.227317880794702
290,1371,0.22698675496688742
512,1367,0.22632450331125828
611,1367,0.22632450331125828
221,1362,0.22549668874172185
145,1356,0.22450331125827813
437,1353,0.2240066225165563
7,1352,0.223841059602649
33,1351,0.22367549668874173
385,1345,0.222682119205298
