artist,count,popularity
591,1389,0.463
657,1359,0.453
4,1325,0.44166666666666665
27,1297,0.43233333333333335
579,1290,0.43
617,1255,0.41833333333333333
15,1250,0.4166666666666667
592,1213,0.4043333333333333
581,1179,0.393
937,1141,0.38033333333333336
602,1132,0.37733333333333335
1,1125,0.375
984,1110,0.37
576,1084,0.36133333333333334
603,1080,0.36
612,1060,0.35333333333333333
25,1056,0.352
59,1019,0.3396666666666667
35,1016,0.33866666666666667
1297,1013,0.33766666666666667
201,1004,0.33466666666666667
607,992,0.33066666666666666
2354,989,0.32966666666666666
611,986,0.32866666666666666
638,982,0.3273333333333333
622,941,0.31366666666666665
586,937,0.31233333333333335
43,934,0.31133333333333335
594,921,0.307
1257,918,0.306
597,918,0.306
945,910,0.30333333333333334
32,906,0.302
665,905,0.3016666666666667
2032,904,0.30133333333333334
973,891,0.297
1616,887,0.2956666666666667
953,887,0.2956666666666667
986,887,0.2956666666666667
11,885,0.295
658,884,0.2946666666666667
12,871,0.29033333333333333
685,860,0.2866666666666667
2016,843,0.281
588,843,0.281
625,834,0.278
946,834,0.278
606,830,0.27666666666666667
649,828,0.276
746,825,0.275
1602,820,0.2733333333333333
191,817,0.2723333333333333
3,816,0.272
207,813,0.271
1593,810,0.27
149,809,0.26966666666666667
614,808,0.2693333333333333
700,806,0.26866666666666666
4199,793,0.2643333333333333
659,793,0.2643333333333333
36,789,0.263
954,784,0.2613333333333333
1277,780,0.26
632,779,0.25966666666666666
947,778,0.25933333333333336
1600,777,0.259
30,774,0.258
686,773,0.25766666666666665
1610,771,0.257
40,767,0.25566666666666665
22,762,0.254
114,760,0.25333333333333335
1631,756,0.252
126,749,0.24966666666666668
595,749,0.24966666666666668
146,748,0.24933333333333332
1026,743,0.24766666666666667
121,740,0.24666666666666667
610,733,0.24433333333333335
1619,726,0.242
642,721,0.24033333333333334
38,721,0.24033333333333334
631,708,0.236
663,707,0.23566666666666666
662,704,0.23466666666666666
112,700,0.23333333333333334
1872,699,0.233
583,697,0.23233333333333334
729,695,0.23166666666666666
2783,690,0.23
955,687,0.229
2034,687,0.229
171,686,0.22866666666666666
2514,682,0.22733333333333333
949,681,0.227
168,680,0.22666666666666666
950,673,0.22433333333333333
624,673,0.22433333333333333
933,673,0.22433333333333333
680,669,0.223
1014,669,0.223
1680,667,0.22233333333333333
957,665,0.22166666666666668
176,663,0.221
96,663,0.221
195,659,0.21966666666666668
164,658,0.21933333333333332
636,654,0.218
1628,653,0.21766666666666667
3357,652,0.21733333333333332
997,651,0.217
673,650,0.21666666666666667
682,648,0.216
406,644,0.21466666666666667
113,644,0.21466666666666667
618,643,0.21433333333333332
2785,642,0.214
1647,638,0.21266666666666667
580,637,0.21233333333333335
3129,632,0.21066666666666667
968,631,0.21033333333333334
707,630,0.21
1040,629,0.20966666666666667
671,629,0.20966666666666667
109,626,0.20866666666666667
198,625,0.20833333333333334
31,617,0.20566666666666666
3203,616,0.20533333333333334
29,613,0.20433333333333334
1614,612,0.204
233,612,0.204
587,605,0.20166666666666666
2359,605,0.20166666666666666
616,602,0.20066666666666666
1249,594,0.198
958,594,0.198
996,591,0.197
590,590,0.19666666666666666
994,589,0.19633333333333333
5,587,0.19566666666666666
167,585,0.195
1143,584,0.19466666666666665
208,583,0.19433333333333333
1624,577,0.19233333333333333
1072,574,0.19133333333333333
1633,572,0.19066666666666668
2368,571,0.19033333333333333
239,570,0.19
667,569,0.18966666666666668
629,568,0.18933333333333333
1665,566,0.18866666666666668
1832,564,0.188
1650,561,0.187
630,561,0.187
960,559,0.18633333333333332
2501,557,0.18566666666666667
2423,556,0.18533333333333332
1860,556,0.18533333333333332
1839,555,0.185
46,555,0.185
265,553,0.18433333333333332
936,553,0.18433333333333332
10,553,0.18433333333333332
599,552,0.184
938,552,0.184
723,551,0.18366666666666667
991,551,0.18366666666666667
33,548,0.18266666666666667
1241,545,0.18166666666666667
2,544,0.18133333333333335
28,544,0.18133333333333335
1268,540,0.18
683,538,0.17933333333333334
180,538,0.17933333333333334
962,538,0.17933333333333334
702,537,0.179
3237,537,0.179
1083,537,0.179
1666,532,0.17733333333333334
598,532,0.17733333333333334
105,530,0.17666666666666667
1677,527,0.17566666666666667
1612,527,0.17566666666666667
971,524,0.17466666666666666
202,524,0.17466666666666666
628,523,0.17433333333333334
855,523,0.17433333333333334
3137,520,0.17333333333333334
585,519,0.173
157,517,0.17233333333333334
626,516,0.172
1252,516,0.172
1669,513,0.171
3178,511,0.17033333333333334
1049,509,0.16966666666666666
275,508,0.16933333333333334
800,506,0.16866666666666666
1331,504,0.168
621,503,0.16766666666666666
615,502,0.16733333333333333
654,500,0.16666666666666666
843,500,0.16666666666666666
262,499,0.16633333333333333
1287,498,0.166
108,498,0.166
722,495,0.165
53,495,0.165
634,494,0.16466666666666666
1728,494,0.16466666666666666
2378,494,0.16466666666666666
1060,490,0.16333333333333333
942,490,0.16333333333333333
1651,489,0.163
2357,488,0.16266666666666665
648,488,0.16266666666666665
820,487,0.16233333333333333
1829,487,0.16233333333333333
178,485,0.16166666666666665
1604,483,0.161
2798,483,0.161
217,481,0.16033333333333333
1663,480,0.16
748,480,0.16
2805,479,0.15966666666666668
762,479,0.15966666666666668
340,478,0.15933333333333333
2055,478,0.15933333333333333
1838,478,0.15933333333333333
734,477,0.159
703,476,0.15866666666666668
767,476,0.15866666666666668
213,475,0.15833333333333333
111,474,0.158
16,474,0.158
584,472,0.15733333333333333
2361,472,0.15733333333333333
355,472,0.15733333333333333
1648,471,0.157
278,468,0.156
719,467,0.15566666666666668
661,467,0.15566666666666668
6207,467,0.15566666666666668
148,466,0.15533333333333332
1637,466,0.15533333333333332
5014,465,0.155
1383,464,0.15466666666666667
981,464,0.15466666666666667
608,462,0.154
3102,462,0.154
1594,461,0.15366666666666667
577,461,0.15366666666666667
221,458,0.15266666666666667
1654,458,0.15266666666666667
1646,458,0.15266666666666667
190,458,0.15266666666666667
992,458,0.15266666666666667
578,457,0.15233333333333332
1305,457,0.15233333333333332
1636,457,0.15233333333333332
2356,456,0.152
1335,455,0.15166666666666667
281,455,0.15166666666666667
88,455,0.15166666666666667
2048,454,0.15133333333333332
8,453,0.151
183,453,0.151
1022,453,0.151
653,453,0.151
620,452,0.15066666666666667
153,452,0.15066666666666667
1696,451,0.15033333333333335
714,450,0.15
2512,449,0.14966666666666667
655,449,0.14966666666666667
3166,449,0.14966666666666667
2518,448,0.14933333333333335
2045,448,0.14933333333333335
790,448,0.14933333333333335
173,448,0.14933333333333335
1889,448,0.14933333333333335
451,447,0.149
1028,446,0.14866666666666667
1243,446,0.14866666666666667
3187,444,0.148
650,444,0.148
430,443,0.14766666666666667
788,442,0.14733333333333334
144,441,0.147
1625,441,0.147
2477,439,0.14633333333333334
637,439,0.14633333333333334
182,437,0.14566666666666667
2419,436,0.14533333333333334
172,436,0.14533333333333334
2036,435,0.145
160,433,0.14433333333333334
1329,432,0.144
7,431,0.14366666666666666
1645,431,0.14366666666666666
600,431,0.14366666666666666
1003,430,0.14333333333333334
175,430,0.14333333333333334
816,429,0.143
1641,428,0.14266666666666666
939,423,0.141
1053,420,0.14
698,419,0.13966666666666666
1020,419,0.13966666666666666
158,418,0.13933333333333334
2786,415,0.13833333333333334
2145,415,0.13833333333333334
736,413,0.13766666666666666
681,413,0.13766666666666666
1002,412,0.13733333333333334
1598,412,0.13733333333333334
666,412,0.13733333333333334
1620,411,0.137
1595,411,0.137
2776,410,0.13666666666666666
633,410,0.13666666666666666
3104,409,0.13633333333333333
1634,408,0.136
2353,407,0.13566666666666666
593,406,0.13533333333333333
189,405,0.135
328,404,0.13466666666666666
2804,404,0.13466666666666666
623,404,0.13466666666666666
2784,403,0.13433333333333333
713,403,0.13433333333333333
181,402,0.134
1674,402,0.134
1885,402,0.134
1253,400,0.13333333333333333
1326,400,0.13333333333333333
1004,399,0.133
791,398,0.13266666666666665
86,398,0.13266666666666665
2471,397,0.13233333333333333
829,397,0.13233333333333333
2081,396,0.132
779,396,0.132
1330,396,0.132
70,394,0.13133333333333333
280,394,0.13133333333333333
4211,394,0.13133333333333333
1256,394,0.13133333333333333
438,394,0.13133333333333333
706,393,0.131
2771,393,0.131
97,392,0.13066666666666665
199,390,0.13
2056,390,0.13
1030,390,0.13
310,389,0.12966666666666668
2058,388,0.12933333333333333
836,388,0.12933333333333333
2523,387,0.129
4229,387,0.129
2440,387,0.129
1448,386,0.12866666666666668
219,386,0.12866666666666668
2073,385,0.12833333333333333
943,385,0.12833333333333333
5285,384,0.128
2117,383,0.12766666666666668
842,381,0.127
216,381,0.127
1655,381,0.127
127,379,0.12633333333333333
2492,378,0.126
2063,377,0.12566666666666668
211,376,0.12533333333333332
264,376,0.12533333333333332
635,375,0.125
708,375,0.125
2779,375,0.125
2355,371,0.12366666666666666
1944,371,0.12366666666666666
1039,371,0.12366666666666666
784,370,0.12333333333333334
2033,370,0.12333333333333334
4893,368,0.12266666666666666
1296,368,0.12266666666666666
308,366,0.122
3130,366,0.122
388,366,0.122
1290,366,0.122
1068,365,0.12166666666666667
1920,365,0.12166666666666667
1055,364,0.12133333333333333
652,364,0.12133333333333333
44,364,0.12133333333333333
2040,363,0.121
19,362,0.12066666666666667
2161,362,0.12066666666666667
226,362,0.12066666666666667
1656,361,0.12033333333333333
206,360,0.12
940,359,0.11966666666666667
2062,359,0.11966666666666667
1895,359,0.11966666666666667
162,359,0.11966666666666667
2760,357,0.119
823,357,0.119
3107,356,0.11866666666666667
2110,356,0.11866666666666667
2409,355,0.11833333333333333
4267,355,0.11833333333333333
223,355,0.11833333333333333
1649,355,0.11833333333333333
2557,354,0.118
710,354,0.118
2377,354,0.118
1623,354,0.118
5521,353,0.11766666666666667
1336,353,0.11766666666666667
3170,353,0.11766666666666667
242,352,0.11733333333333333
690,352,0.11733333333333333
2847,352,0.11733333333333333
6814,351,0.117
1333,351,0.117
786,351,0.117
39,351,0.117
1258,349,0.11633333333333333
1115,349,0.11633333333333333
730,348,0.116
1862,347,0.11566666666666667
647,347,0.11566666666666667
133,347,0.11566666666666667
4412,344,0.11466666666666667
1242,344,0.11466666666666667
7119,344,0.11466666666666667
2463,343,0.11433333333333333
696,343,0.11433333333333333
2781,342,0.114
1044,342,0.114
3273,341,0.11366666666666667
1710,341,0.11366666666666667
303,340,0.11333333333333333
604,340,0.11333333333333333
1837,339,0.113
3718,339,0.113
1661,338,0.11266666666666666
1707,338,0.11266666666666666
688,337,0.11233333333333333
75,337,0.11233333333333333
1629,337,0.11233333333333333
724,336,0.112
854,336,0.112
1280,336,0.112
177,335,0.11166666666666666
4916,335,0.11166666666666666
1916,335,0.11166666666666666
966,335,0.11166666666666666
1304,333,0.111
964,333,0.111
179,333,0.111
1603,333,0.111
715,332,0.11066666666666666
670,332,0.11066666666666666
2461,332,0.11066666666666666
2808,332,0.11066666666666666
5404,332,0.11066666666666666
266,331,0.11033333333333334
1618,331,0.11033333333333334
3799,331,0.11033333333333334
983,331,0.11033333333333334
2825,331,0.11033333333333334
1843,330,0.11
1298,329,0.10966666666666666
3874,329,0.10966666666666666
1747,328,0.10933333333333334
1327,328,0.10933333333333334
2845,328,0.10933333333333334
3839,326,0.10866666666666666
1137,326,0.10866666666666666
1355,326,0.10866666666666666
2013,325,0.10833333333333334
34,325,0.10833333333333334
1833,324,0.108
5387,324,0.108
1356,323,0.10766666666666666
675,323,0.10766666666666666
3171,323,0.10766666666666666
3427,322,0.10733333333333334
1678,322,0.10733333333333334
3145,321,0.107
184,321,0.107
982,321,0.107
976,321,0.107
2051,320,0.10666666666666667
1086,320,0.10666666666666667
299,319,0.10633333333333334
2914,319,0.10633333333333334
13,319,0.10633333333333334
1244,318,0.106
17,318,0.106
1029,317,0.10566666666666667
742,317,0.10566666666666667
290,317,0.10566666666666667
1015,317,0.10566666666666667
145,316,0.10533333333333333
249,316,0.10533333333333333
793,315,0.105
1340,315,0.105
2400,314,0.10466666666666667
92,314,0.10466666666666667
1251,314,0.10466666666666667
1845,313,0.10433333333333333
